"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","306","response Content-Type is JSON","","Thu May 14 14:53:03 UTC 2026","passed","Thu May 14 14:53:03 UTC 2026","","UpdateBookHappyPathSpec","com.example.apitests.books.happyPath.UpdateBookHappyPathSpec","response Content-Type is JSON"
"","276","never returns a 5xx for malformed input 'null'","","Thu May 14 14:53:04 UTC 2026","passed","Thu May 14 14:53:05 UTC 2026","","DeleteBookNegativeSpec","com.example.apitests.books.negative.DeleteBookNegativeSpec","never returns a 5xx for malformed input 'null'"
"","267","rejects with 400 when path id is non-numeric ('1.5')","","Thu May 14 14:53:06 UTC 2026","passed","Thu May 14 14:53:06 UTC 2026","","UpdateBookNegativeSpec","com.example.apitests.books.negative.UpdateBookNegativeSpec","rejects with 400 when path id is non-numeric ('1.5')"
"","474","publishDate matches an ISO-8601-like pattern for every book","","Thu May 14 14:53:05 UTC 2026","passed","Thu May 14 14:53:06 UTC 2026","","GetAllBooksHappyPathSpec","com.example.apitests.books.happyPath.GetAllBooksHappyPathSpec","publishDate matches an ISO-8601-like pattern for every book"
"","265","returns 4xx for malformed id '!!'","","Thu May 14 14:53:12 UTC 2026","passed","Thu May 14 14:53:12 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","returns 4xx for malformed id '!!'"
"","270","DELETE book - id range [id: 2, #0]","","Thu May 14 14:53:10 UTC 2026","passed","Thu May 14 14:53:10 UTC 2026","","DeleteBookHappyPathSpec","com.example.apitests.books.happyPath.DeleteBookHappyPathSpec","DELETE book - id range [id: 2, #0]"
"","282","never returns a 5xx for malformed input '1.5'","","Thu May 14 14:53:04 UTC 2026","passed","Thu May 14 14:53:04 UTC 2026","","DeleteBookNegativeSpec","com.example.apitests.books.negative.DeleteBookNegativeSpec","never returns a 5xx for malformed input '1.5'"
"","267","returns 4xx for malformed id '-1'","","Thu May 14 14:53:13 UTC 2026","passed","Thu May 14 14:53:13 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","returns 4xx for malformed id '-1'"
"","278","returns 200 with matching id for possible range of id 150","","Thu May 14 14:53:09 UTC 2026","passed","Thu May 14 14:53:09 UTC 2026","","GetBookByIdHappyPathSpec","com.example.apitests.books.happyPath.GetBookByIdHappyPathSpec","returns 200 with matching id for possible range of id 150"
"","264","returns 4xx for malformed id 'null'","","Thu May 14 14:53:13 UTC 2026","passed","Thu May 14 14:53:14 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","returns 4xx for malformed id 'null'"
"","286","responds within an acceptable time","","Thu May 14 14:53:12 UTC 2026","passed","Thu May 14 14:53:12 UTC 2026","","DeleteBookHappyPathSpec","com.example.apitests.books.happyPath.DeleteBookHappyPathSpec","responds within an acceptable time"
"","280","returns 404 for a non-existent (but well-formed numeric) id","","Thu May 14 14:53:11 UTC 2026","passed","Thu May 14 14:53:12 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","returns 404 for a non-existent (but well-formed numeric) id"
"","284","returns 400 when id is non-numeric ('null')","","Thu May 14 14:53:03 UTC 2026","passed","Thu May 14 14:53:03 UTC 2026","","DeleteBookNegativeSpec","com.example.apitests.books.negative.DeleteBookNegativeSpec","returns 400 when id is non-numeric ('null')"
